#{"t_start": 1705144753.2988002, "env_id": "None"}
r,l,t
-0.002,20,0.346507
-0.002,20,0.360292
0.9985,21,0.373949
-0.002,20,0.387371
0.9984,21,0.401407
-0.002,20,0.415602
-0.002,20,0.429601
-0.002,20,0.443028
-0.002,20,0.456643
0.9985,21,0.470496
-0.002,20,0.484276
-0.002,20,0.498233
-0.002,20,0.512087
-0.002,20,0.529158
-0.002,20,0.566619
0.9985,21,0.581879
-0.002,20,0.596351
-0.002,20,0.610316
0.9985,21,0.624428
0.9985,21,0.638456
0.9984,21,0.652501
-0.002,20,0.666063
-0.002,20,0.680071
0.9985,21,0.694059
0.9984,21,0.707732
0.9984,21,0.721531
0.9981,21,0.735277
0.9983,21,0.749237
-0.002,20,0.763443
0.9983,21,0.777457
-0.002,20,0.791126
0.9983,21,0.805457
-0.002,20,0.819335
0.9985,21,0.833518
0.9985,21,0.847464
0.9983,21,0.862165
-0.002,20,0.876446
0.9983,21,0.890471
-0.002,20,0.904011
0.9982,21,0.917655
-0.002,20,0.931111
-0.002,20,0.944497
-0.002,20,0.957805
-0.002,20,0.971254
0.9983,21,0.985495
0.9985,21,0.999891
-0.002,20,1.016231
-0.002,20,1.031311
-0.002,20,1.045706
0.9985,21,1.060401
-0.002,20,1.074302
-0.002,20,1.088447
0.9981,21,1.103135
-0.002,20,1.117125
-0.002,20,1.131075
-0.002,20,1.144676
0.9985,21,1.158371
-0.002,20,1.171527
-0.002,20,1.184826
-0.002,20,1.198809
0.9983,21,1.213282
0.9983,21,1.227609
-0.002,20,1.241107
-0.002,20,1.255244
-0.002,20,1.269066
-0.002,20,1.283293
0.9984,21,1.297725
-0.002,20,1.312082
0.9984,21,1.326074
0.9985,21,1.340223
0.9984,21,1.354447
0.9984,21,1.368884
0.9985,21,1.38275
0.9982,21,1.396357
0.9985,21,1.409967
0.9984,21,1.423527
-0.002,20,1.437067
0.9985,21,1.450212
0.9985,21,1.463421
0.9983,21,1.476543
0.9982,21,1.489848
0.9983,21,1.503219
-0.002,20,1.520322
0.9985,21,1.535062
-0.002,20,1.549544
-0.002,20,1.563504
-0.002,20,1.577822
0.9985,21,1.606772
-0.002,20,1.621767
0.9981,21,1.635929
-0.002,20,1.649685
0.9983,21,1.663594
-0.002,20,1.677258
-0.002,20,1.690705
0.9983,21,1.704425
-0.002,20,1.717797
0.9983,21,1.732011
-0.002,20,1.745681
0.9981,21,1.759484
0.9984,21,1.773469
0.9984,21,1.787839
-0.002,20,1.801051
0.9984,21,1.815698
0.9984,21,1.829268
0.9985,21,1.842903
-0.002,20,1.856202
-0.002,20,1.869475
-0.002,20,1.882775
-0.002,20,1.896054
0.9983,21,1.909762
0.9985,21,1.923242
0.9985,21,1.936829
0.9984,21,1.950073
0.9983,21,1.96325
0.9985,21,1.976281
-0.002,20,1.989044
-0.002,20,2.001661
-0.002,20,2.017688
0.9981,21,2.034985
0.9985,21,2.048953
-0.002,20,2.063079
0.9984,21,2.077315
0.9981,21,2.091672
0.9984,21,2.106126
0.9981,21,2.120334
0.9985,21,2.134148
0.9985,21,2.14819
0.9984,21,2.161932
-0.002,20,2.175394
-0.002,20,2.188598
0.9985,21,2.202033
0.9985,21,2.215686
0.9985,21,2.229541
0.9984,21,2.243039
-0.002,20,2.256823
-0.002,20,2.270648
-0.002,20,2.284368
0.9984,21,2.29851
0.9985,21,2.312853
-0.002,20,2.326498
-0.002,20,2.339844
0.9984,21,2.353519
-0.002,20,2.366877
-0.002,20,2.381086
0.9985,21,2.394967
0.9985,21,2.408371
0.9981,21,2.421875
0.9981,21,2.435409
-0.002,20,2.448592
0.9985,21,2.462525
0.9983,21,2.475641
0.9982,21,2.488869
0.9985,21,2.502977
0.9984,21,2.51814
0.9983,21,2.536021
0.9982,21,2.550277
-0.002,20,2.564458
0.9983,21,2.578893
0.9981,21,2.593409
-0.002,20,2.607643
-0.002,20,2.621977
-0.002,20,2.636026
-0.002,20,2.669187
0.9984,21,2.683756
-0.002,20,2.697114
-0.002,20,2.71043
-0.002,20,2.724029
-0.002,20,2.738019
-0.002,20,2.752085
-0.002,20,2.765919
0.9983,21,2.781496
0.9985,21,2.79651
0.9985,21,2.8115
0.9983,21,2.825991
-0.002,20,2.839558
0.9981,21,2.853483
0.9985,21,2.867658
0.9985,21,2.881681
0.9983,21,2.89577
0.9985,21,2.909896
0.9983,21,2.924027
0.9983,21,2.938207
-0.002,20,2.951096
-0.002,20,2.963844
-0.002,20,2.976482
0.9985,21,2.989377
0.9984,21,3.003382
-0.002,20,3.018504
0.9984,21,3.035639
0.9985,21,3.050334
-0.002,20,3.064279
0.9985,21,3.078863
0.9984,21,3.09406
-0.002,20,3.108695
0.9985,21,3.122966
0.9985,21,3.137867
-0.002,20,3.151932
0.9985,21,3.165959
-0.002,20,3.179645
-0.002,20,3.193419
0.9985,21,3.207537
-0.002,20,3.221233
-0.002,20,3.235014
0.9983,21,3.2491
0.9985,21,3.26308
-0.002,20,3.276771
-0.002,20,3.290658
-0.002,20,3.304662
-0.002,20,3.318368
-0.002,20,3.331841
0.9985,21,3.345548
0.9985,21,3.358815
0.9984,21,3.372098
-0.002,20,3.38516
0.9983,21,3.398581
-0.002,20,3.411739
0.9985,21,3.425165
0.9985,21,3.438593
-0.002,20,3.451298
0.9985,21,3.464003
0.9985,21,3.476924
-0.002,20,3.489426
0.9985,21,3.502323
0.9985,21,3.515136
-0.002,20,3.533168
-0.002,20,3.547697
-0.002,20,3.5617
0.9984,21,3.575819
-0.002,20,3.590035
-0.002,20,3.60393
-0.002,20,3.617709
-0.002,20,3.63153
-0.002,20,3.645593
0.9985,21,3.659435
0.9984,21,3.673117
0.9983,21,3.706373
-0.002,20,3.72014
0.9981,21,3.733666
-0.002,20,3.747328
-0.002,20,3.760376
-0.002,20,3.774142
0.9984,21,3.788129
0.9984,21,3.801824
0.9984,21,3.816053
-0.002,20,3.829928
0.9984,21,3.843655
-0.002,20,3.856837
0.9984,21,3.870596
0.9981,21,3.884136
-0.002,20,3.897213
-0.002,20,3.910534
0.9984,21,3.924057
0.9984,21,3.937613
-0.002,20,3.950446
-0.002,20,3.963245
0.9984,21,3.976231
0.9984,21,3.989297
0.9985,21,4.002214
0.9984,21,4.015159
-0.002,20,4.033207
-0.002,20,4.048313
0.9984,21,4.062352
0.9983,21,4.076764
-0.002,20,4.090738
-0.002,20,4.104838
0.9985,21,4.118874
0.9985,21,4.132618
-0.002,20,4.146577
0.9985,21,4.160454
-0.002,20,4.173531
-0.002,20,4.186573
-0.002,20,4.19956
-0.002,20,4.212665
0.9985,21,4.225859
0.9985,21,4.239731
-0.002,20,4.252653
0.9984,21,4.266704
-0.002,20,4.280703
-0.002,20,4.295018
-0.002,20,4.308315
0.9983,21,4.322582
-0.002,20,4.336255
0.9983,21,4.349975
0.9985,21,4.363378
0.9984,21,4.376781
-0.002,20,4.389958
0.9985,21,4.40329
-0.002,20,4.416381
0.9985,21,4.429891
0.9985,21,4.443114
0.9981,21,4.456557
0.9981,21,4.469575
-0.002,20,4.482278
0.9982,21,4.495273
0.9985,21,4.508528
0.9985,21,4.521506
-0.002,20,4.539968
0.9984,21,4.55444
-0.002,20,4.568242
0.9985,21,4.582453
-0.002,20,4.596405
-0.002,20,4.610787
-0.002,20,4.624625
-0.002,20,4.638954
-0.002,20,4.652968
0.9983,21,4.667081
0.9983,21,4.680732
-0.002,20,4.693874
-0.002,20,4.707246
-0.002,20,4.720407
-0.002,20,4.743578
0.9984,21,4.757889
-0.002,20,4.772129
0.9985,21,4.786284
-0.002,20,4.799952
-0.002,20,4.813834
0.9983,21,4.828284
0.9981,21,4.842338
0.9985,21,4.856112
0.9983,21,4.869879
0.9985,21,4.884004
-0.002,20,4.898021
0.9983,21,4.911913
-0.002,20,4.925484
0.9985,21,4.93986
0.9985,21,4.955079
-0.002,20,4.969427
-0.002,20,4.983249
-0.002,20,4.997004
0.9982,21,5.010918
-0.002,20,5.02451
0.9981,21,5.040624
0.9985,21,5.054991
0.9984,21,5.0697
-0.002,20,5.084142
0.9984,21,5.098498
0.9982,21,5.113649
-0.002,20,5.128296
0.9983,21,5.142968
0.9981,21,5.156923
-0.002,20,5.170942
-0.002,20,5.184713
-0.002,20,5.198246
-0.002,20,5.211808
-0.002,20,5.226476
0.9985,21,5.24224
0.9985,21,5.256096
-0.002,20,5.270324
-0.002,20,5.285781
0.9985,21,5.300789
-0.002,20,5.315298
-0.002,20,5.33004
0.9985,21,5.344503
0.9982,21,5.358694
0.9985,21,5.373123
0.9985,21,5.387573
0.9985,21,5.402177
-0.002,20,5.415931
0.9982,21,5.429905
0.9985,21,5.444281
-0.002,20,5.458169
-0.002,20,5.4722
0.9985,21,5.485956
0.9981,21,5.499609
-0.002,20,5.513144
0.9983,21,5.527852
-0.002,20,5.544994
0.9984,21,5.559328
-0.002,20,5.573724
0.9985,21,5.58843
0.9985,21,5.602595
-0.002,20,5.616891
-0.002,20,5.630959
0.9985,21,5.645235
0.9983,21,5.659021
-0.002,20,5.672468
0.9981,21,5.686379
-0.002,20,5.699813
-0.002,20,5.713232
-0.002,20,5.726661
-0.002,20,5.740332
0.9981,21,5.753798
0.9983,21,5.778108
-0.002,20,5.792313
0.9983,21,5.806562
-0.002,20,5.820749
-0.002,20,5.83409
-0.002,20,5.847568
0.9985,21,5.861162
0.9983,21,5.874672
0.9985,21,5.888093
-0.002,20,5.901477
0.9983,21,5.915006
-0.002,20,5.928122
-0.002,20,5.94119
-0.002,20,5.953766
0.9984,21,5.96664
-0.002,20,5.979654
0.9985,21,5.992711
-0.002,20,6.005429
0.9981,21,6.01866
0.9983,21,6.037326
-0.002,20,6.051881
0.9984,21,6.06605
0.9984,21,6.080376
-0.002,20,6.094597
-0.002,20,6.108623
-0.002,20,6.122749
-0.002,20,6.136326
-0.002,20,6.150058
-0.002,20,6.163704
-0.002,20,6.177045
-0.002,20,6.190392
-0.002,20,6.203777
0.9981,21,6.217912
-0.002,20,6.231005
0.9983,21,6.245266
-0.002,20,6.257985
0.9984,21,6.271915
-0.002,20,6.285603
