#{"t_start": 1705131744.366459, "env_id": "None"}
r,l,t
0.97,401,0.666846
0.9699,401,0.938121
0.9699,401,1.208707
0.9689,401,1.781492
-0.04,400,2.058294
-0.04,400,2.327764
-0.04,400,2.892562
0.9698,401,3.165943
0.9699,401,3.434875
-0.04,400,4.006965
0.9678,401,4.271229
0.9698,401,4.546884
-0.04,400,5.116344
0.9627,401,5.384986
0.9699,401,5.658351
0.9679,401,6.215726
0.9693,401,6.491614
-0.04,400,6.760267
0.9695,401,7.322457
-0.04,400,7.599981
0.9698,401,7.88965
-0.04,400,8.457851
0.97,401,8.726936
0.9699,401,9.015286
0.9699,401,9.559115
0.9686,401,9.827769
-0.04,400,10.110368
0.9698,401,10.66172
-0.04,400,10.935088
0.9697,401,11.219172
-0.04,400,11.763904
0.9697,401,12.04041
0.97,401,12.305434
-0.04,400,12.870836
-0.04,400,13.145981
0.97,401,13.40979
-0.04,400,13.981887
-0.04,400,14.254244
-0.04,400,14.528022
0.97,401,15.093282
0.97,401,15.359304
0.9695,401,15.63184
0.9685,401,16.195576
-0.04,400,16.464918
0.9699,401,16.740316
0.9697,401,17.299114
-0.04,400,17.576772
0.9699,401,17.842342
0.97,401,18.414273
-0.04,400,18.691004
0.9695,401,18.958059
0.9699,401,19.52786
0.9696,401,19.795972
0.97,401,20.071078
-0.04,400,20.644565
0.9697,401,20.914389
0.9637,401,21.189766
0.9698,401,21.745957
0.9698,401,22.019502
-0.04,400,22.288975
-0.04,400,22.848445
-0.04,400,23.125149
-0.04,400,23.389248
0.97,401,23.949297
0.97,401,24.221943
0.9698,401,24.478213
0.9699,401,25.071614
-0.04,400,25.33736
0.9698,401,25.612149
-0.04,400,26.183146
0.9697,401,26.449628
0.9695,401,26.733944
0.9627,401,27.289584
-0.04,400,27.565479
0.9698,401,27.837112
-0.04,400,28.389514
0.9696,401,28.6597
0.9698,401,28.920061
0.9635,401,29.506893
0.9621,401,29.782823
0.9696,401,30.048163
0.9691,401,30.613925
0.9699,401,30.870506
-0.04,400,31.140624
0.9699,401,31.729087
-0.04,400,31.995215
0.97,401,32.264064
0.97,401,32.824596
-0.04,400,33.094831
0.9699,401,33.355793
0.9698,401,33.92762
-0.04,400,34.200573
0.9699,401,34.464377
-0.04,400,35.044843
0.97,401,35.317354
-0.04,400,35.589103
0.97,401,36.161999
0.9643,401,36.424062
0.9697,401,36.694281
-0.04,400,37.266878
-0.04,400,37.533373
0.97,401,37.805185
-0.04,400,38.351419
0.97,401,38.709296
-0.04,400,39.0594
-0.04,400,39.411295
0.97,401,39.768207
0.9696,401,40.128053
-0.04,400,40.485913
0.9698,401,40.844023
0.9685,401,41.203394
0.9698,401,41.557321
0.9699,401,41.912222
0.9697,401,42.271902
-0.04,400,42.63861
-0.04,400,42.998604
0.9697,401,43.375507
0.97,401,43.752874
0.9691,401,44.113293
-0.04,400,44.473905
0.9699,401,44.834509
0.9698,401,45.195324
-0.04,400,45.556848
0.9641,401,45.923322
0.9699,401,46.286962
0.9682,401,46.654622
-0.04,400,47.023761
0.9699,401,47.411598
0.97,401,47.787823
-0.04,400,48.168363
0.97,401,48.547012
-0.04,400,48.921435
0.9653,401,49.298992
-0.04,400,49.6696
0.9699,401,50.038253
-0.04,400,50.412258
-0.04,400,50.786467
0.9698,401,51.161714
-0.04,400,51.535912
0.9693,401,51.913078
-0.04,400,52.290445
-0.04,400,52.676841
0.9647,401,53.045885
0.9671,401,53.424385
0.9698,401,53.801485
-0.04,400,54.179681
0.9694,401,54.55176
0.9698,401,54.930599
0.9646,401,55.307862
-0.04,400,55.685065
-0.04,400,56.059069
-0.04,400,56.438955
-0.04,400,56.820282
-0.04,400,57.197368
0.97,401,57.572035
-0.04,400,57.947838
0.9696,401,58.327791
-0.04,400,58.707259
-0.04,400,59.081293
-0.04,400,59.459432
0.9681,401,59.836828
-0.04,400,60.219141
0.97,401,60.592965
-0.04,400,60.973154
-0.04,400,61.353303
0.97,401,61.732594
0.9665,401,62.109843
0.9698,401,62.48849
0.97,401,62.866795
0.9698,401,63.243587
0.9693,401,63.620374
0.9696,401,64.011647
0.9699,401,64.388347
-0.04,400,64.770223
0.9699,401,65.145737
-0.04,400,65.526103
0.9668,401,65.90433
0.97,401,66.280387
-0.04,400,66.665506
0.9699,401,67.069311
0.97,401,67.461058
-0.04,400,67.85421
0.968,401,68.24005
