#{"t_start": 1703840839.9341729, "env_id": "None"}
r,l,t
-0.006,6,0.460034
-0.006,6,0.470136
-0.006,6,0.47945
-0.006,6,0.488473
-0.006,6,0.49727
-0.006,6,0.524253
-0.006,6,0.533505
-0.006,6,0.542679
-0.006,6,0.551573
-0.006,6,0.560309
0.995,8,0.570988
-0.006,6,0.57875
0.995,8,0.588611
-0.006,6,0.596243
0.995,8,0.60571
-0.006,6,0.613213
-0.006,6,0.620794
-0.006,6,0.630763
-0.006,6,0.639836
-0.006,6,0.648036
-0.006,6,0.655619
0.995,8,0.666354
0.995,8,0.676268
0.995,8,0.685685
-0.006,6,0.693886
-0.006,6,0.701459
-0.006,6,0.709508
-0.006,6,0.716965
-0.006,6,0.724914
-0.006,6,0.732603
0.995,8,0.742502
-0.006,6,0.749846
-0.006,6,0.757798
-0.006,6,0.766112
-0.006,6,0.773773
-0.006,6,0.781507
-0.006,6,0.789303
-0.006,6,0.796847
-0.006,6,0.804393
-0.006,6,0.811901
0.995,8,0.821452
-0.006,6,0.828977
0.995,8,0.838449
0.995,8,0.847956
-0.006,6,0.855501
-0.006,6,0.862788
-0.006,6,0.870011
0.995,8,0.8793
-0.006,6,0.886446
-0.006,6,0.893697
-0.006,6,0.900971
0.995,8,0.910006
0.995,8,0.919162
0.995,8,0.928204
-0.006,6,0.935629
0.995,8,0.944792
-0.006,6,0.951938
0.995,8,0.961048
-0.006,6,0.96813
0.995,8,0.976963
-0.006,6,0.983999
-0.006,6,0.99119
0.995,8,1.000581
-0.006,6,1.007766
0.995,8,1.017068
-0.006,6,1.024803
-0.006,6,1.032251
-0.006,6,1.039871
-0.006,6,1.047554
-0.006,6,1.054806
-0.006,6,1.062856
-0.006,6,1.070349
-0.006,6,1.078159
-0.006,6,1.085727
0.995,8,1.095571
-0.006,6,1.103075
-0.006,6,1.110546
-0.006,6,1.117812
-0.006,6,1.125108
-0.006,6,1.135884
-0.006,6,1.143726
-0.006,6,1.15167
0.995,8,1.161181
-0.006,6,1.168899
0.995,8,1.17918
-0.006,6,1.187301
-0.006,6,1.195159
-0.006,6,1.202728
0.995,8,1.212695
0.995,8,1.223869
-0.006,6,1.231834
-0.006,6,1.240496
-0.006,6,1.248268
-0.006,6,1.255808
-0.006,6,1.263449
-0.006,6,1.270825
-0.006,6,1.278492
-0.006,6,1.286175
-0.006,6,1.293698
-0.006,6,1.301221
-0.006,6,1.308747
-0.006,6,1.316309
-0.006,6,1.323944
-0.006,6,1.331839
0.995,8,1.341518
-0.006,6,1.349125
0.995,8,1.358584
-0.006,6,1.366018
-0.006,6,1.373366
-0.006,6,1.380727
-0.006,6,1.388301
-0.006,6,1.395744
-0.006,6,1.403206
-0.006,6,1.410452
-0.006,6,1.417612
0.995,8,1.426753
-0.006,6,1.433938
-0.006,6,1.441228
-0.006,6,1.448868
-0.006,6,1.456339
-0.006,6,1.463612
-0.006,6,1.470878
-0.006,6,1.478318
0.995,8,1.487636
-0.006,6,1.494975
-0.006,6,1.502558
-0.006,6,1.509929
-0.006,6,1.517803
-0.006,6,1.525754
-0.006,6,1.555484
-0.006,6,1.565022
-0.006,6,1.573888
0.995,8,1.584809
0.995,8,1.594897
0.995,8,1.604163
-0.006,6,1.612056
-0.006,6,1.619479
-0.006,6,1.628266
-0.006,6,1.638235
0.995,8,1.648488
-0.006,6,1.657246
-0.006,6,1.667018
-0.006,6,1.677214
-0.006,6,1.686018
-0.006,6,1.695047
-0.006,6,1.703145
-0.006,6,1.711478
-0.006,6,1.719071
-0.006,6,1.72682
-0.006,6,1.734409
0.995,8,1.744338
-0.006,6,1.751882
0.995,8,1.761589
-0.006,6,1.76956
-0.006,6,1.777188
-0.006,6,1.784746
-0.006,6,1.79224
0.995,8,1.801739
-0.006,6,1.809304
-0.006,6,1.816848
-0.006,6,1.824349
0.995,8,1.833993
-0.006,6,1.841694
-0.006,6,1.849325
-0.006,6,1.856923
-0.006,6,1.864325
-0.006,6,1.872097
-0.006,6,1.879373
-0.006,6,1.886653
0.995,8,1.895859
-0.006,6,1.903413
-0.006,6,1.910864
-0.006,6,1.91817
-0.006,6,1.925178
0.995,8,1.93424
-0.006,6,1.941315
0.995,8,1.950218
-0.006,6,1.957284
-0.006,6,1.964381
0.995,8,1.973304
-0.006,6,1.98033
-0.006,6,1.987309
-0.006,6,1.994411
-0.006,6,2.001421
-0.006,6,2.008904
-0.006,6,2.016714
0.995,8,2.026244
0.995,8,2.035968
0.995,8,2.04611
-0.006,6,2.053624
0.995,8,2.063676
-0.006,6,2.071373
-0.006,6,2.079202
-0.006,6,2.086721
-0.006,6,2.094976
-0.006,6,2.102431
0.995,8,2.112405
-0.006,6,2.119744
-0.006,6,2.127609
-0.006,6,2.137798
-0.006,6,2.145782
-0.006,6,2.15372
-0.006,6,2.161585
-0.006,6,2.169207
0.995,8,2.178843
-0.006,6,2.186922
0.995,8,2.196926
0.995,8,2.206549
-0.006,6,2.214263
-0.006,6,2.222547
0.995,8,2.233644
-0.006,6,2.243784
-0.006,6,2.252599
-0.006,6,2.261939
-0.006,6,2.271609
-0.006,6,2.280944
-0.006,6,2.290454
0.995,8,2.301325
-0.006,6,2.309663
-0.006,6,2.317561
-0.006,6,2.325359
0.995,8,2.334986
-0.006,6,2.343177
0.995,8,2.35337
0.995,8,2.362763
-0.006,6,2.369972
0.995,8,2.379056
0.995,8,2.388149
-0.006,6,2.395456
0.995,8,2.404551
-0.006,6,2.411771
-0.006,6,2.419129
-0.006,6,2.426513
-0.006,6,2.433707
-0.006,6,2.440908
0.995,8,2.450043
-0.006,6,2.457202
-0.006,6,2.464233
0.995,8,2.473556
-0.006,6,2.480574
-0.006,6,2.487731
-0.006,6,2.494814
-0.006,6,2.501934
0.995,8,2.511321
-0.006,6,2.518808
-0.006,6,2.526266
-0.006,6,2.534428
0.995,8,2.544171
0.995,8,2.55374
-0.006,6,2.562192
-0.006,6,2.569874
-0.006,6,2.598053
-0.006,6,2.606979
-0.006,6,2.615512
-0.006,6,2.623546
-0.006,6,2.632289
0.995,8,2.644506
-0.006,6,2.652778
-0.006,6,2.660886
-0.006,6,2.668493
-0.006,6,2.676467
-0.006,6,2.684124
-0.006,6,2.692043
-0.006,6,2.699708
-0.006,6,2.707529
-0.006,6,2.715338
-0.006,6,2.72303
-0.006,6,2.730689
-0.006,6,2.738247
0.995,8,2.748041
0.995,8,2.75801
-0.006,6,2.765477
-0.006,6,2.772909
0.995,8,2.782207
-0.006,6,2.78987
-0.006,6,2.797439
-0.006,6,2.804884
0.995,8,2.814329
-0.006,6,2.821787
-0.006,6,2.829083
-0.006,6,2.836279
-0.006,6,2.843655
-0.006,6,2.850844
0.995,8,2.859876
0.995,8,2.868844
-0.006,6,2.875843
-0.006,6,2.883014
-0.006,6,2.889995
-0.006,6,2.89715
-0.006,6,2.904272
-0.006,6,2.911266
0.995,8,2.920147
-0.006,6,2.927178
-0.006,6,2.93446
0.995,8,2.943676
-0.006,6,2.950732
-0.006,6,2.957697
-0.006,6,2.964704
0.995,8,2.973688
-0.006,6,2.980845
-0.006,6,2.987914
-0.006,6,2.99495
-0.006,6,3.002221
0.995,8,3.011529
-0.006,6,3.018743
0.995,8,3.027783
0.995,8,3.037775
-0.006,6,3.045253
-0.006,6,3.053059
-0.006,6,3.061516
-0.006,6,3.069136
-0.006,6,3.077391
-0.006,6,3.084864
