d, p, o, time
3, 1, 1, 0.032797060906887054,
4, 1, 1, 0.04139946773648262,
4, 1, 2, 0.07160682789981365,
4, 2, 1, 0.054225360974669456,
5, 1, 1, 0.2564990911632776,
5, 1, 2, 0.13109590113162994,
5, 1, 3, 0.3360649887472391,
5, 2, 1, 0.08942208252847195,
5, 2, 2, 0.15981900691986084,
5, 3, 1, 0.10489412397146225,
6, 1, 1, 0.07423061318695545,
6, 1, 2, 0.2097886987030506,
6, 1, 3, 0.6941738184541464,
6, 1, 4, 2.431935828179121,
6, 2, 1, 0.12444296106696129,
6, 2, 2, 0.24165300838649273,
6, 2, 3, 0.7559432536363602,
6, 3, 1, 0.18257823213934898,
6, 3, 2, 0.30444675497710705,
6, 4, 1, 0.17230386100709438,
7, 1, 1, 0.08500984311103821,
7, 1, 2, 0.29177768900990486,
7, 1, 3, 1.4781116116791964,
7, 1, 4, 7.812184661626816,
7, 1, 5, 42.12497428059578,
7, 2, 1, 0.18180341832339764,
7, 2, 2, 0.38631993159651756,
7, 2, 3, 1.5757136046886444,
7, 2, 4, 8.087106134742498,
7, 3, 1, 0.35163605585694313,
7, 3, 2, 0.5580719634890556,
7, 3, 3, 1.7059988547116518,
7, 4, 1, 0.6041668448597193,
7, 4, 2, 0.6100678574293852,
7, 5, 1, 0.2998438309878111,
8, 1, 1, 0.10628311336040497,
8, 1, 2, 0.43694719672203064,
8, 1, 3, 2.9571694675832987,
8, 1, 4, 22.816598802804947,
8, 1, 5, 232.43709074892104,
8, 2, 1, 0.28917002491652966,
8, 2, 2, 0.8481791522353888,
8, 2, 3, 2.99365353025496,
8, 2, 4, 22.473095448687673,
8, 2, 5, 233.56491196528077,
8, 3, 1, 0.6830304395407438,
8, 3, 2, 1.189842777326703,
8, 3, 3, 3.329502124339342,
8, 3, 4, 23.288659796118736,
8, 4, 1, 0.9375066515058279,
8, 4, 2, 1.2662963848561049,
8, 4, 3, 3.699468307197094,
8, 5, 1, 0.8870110865682364,
8, 5, 2, 1.186768438667059,
8, 6, 1, 0.7561316359788179,
9, 2, 1, 0.27153979800641537,
9, 2, 2, 0.6717779310420156,
9, 2, 3, 3.369263102300465,
9, 2, 4, 40.02781946212053,
9, 2, 5, 1021.9034424573183,
9, 3, 1, 0.5170057201758027,
9, 3, 2, 0.7715217303484678,
9, 3, 3, 3.3773351814597845,
9, 3, 4, 39.90482104290277,
9, 3, 5, 1012.669404797256,
9, 4, 1, 1.0515980534255505,
9, 4, 2, 1.2900273650884628,
9, 4, 3, 3.921621026471257,
9, 4, 4, 42.727417996153235,
9, 5, 1, 1.2689887266606092,
9, 5, 2, 1.5737391840666533,
9, 5, 3, 4.824446568265557,
9, 6, 1, 1.010516395792365,
9, 6, 2, 1.2631304170936346,
9, 7, 1, 0.7967341486364603,
10, 1, 1, 0.08168919943273067,
10, 1, 2, 0.4791448451578617,
10, 1, 3, 5.056702761910856,
10, 1, 4, 95.49792812671512,
10, 1, 5, 4065.6483265943825,
10, 2, 1, 0.26386096607893705,
10, 2, 2, 0.6384432287886739,
10, 2, 3, 5.254961661994457,
10, 2, 4, 96.81291605252773,
10, 2, 5, 4130.302267616615,
10, 3, 1, 0.8089830484241247,
10, 3, 2, 1.1917328583076596,
10, 3, 3, 5.857746318913996,
10, 3, 4, 103.41140819340944,
10, 3, 5, 4063.978130914271,
10, 4, 1, 2.6892312802374363,
10, 4, 2, 2.472916044294834,
10, 4, 3, 7.774866389110684,
10, 4, 4, 97.90125949308276,
10, 4, 5, 4126.227654701099,
10, 5, 1, 3.431100532412529,
10, 5, 2, 3.8397977463901043,
10, 5, 3, 8.471233155578375,
10, 5, 4, 104.13402277603745,
10, 6, 1, 3.51521837990731,
10, 6, 2, 3.6031484780833125,
10, 6, 3, 7.029741630889475,
10, 7, 1, 2.424119707196951,
10, 7, 2, 2.717047759331763,
10, 8, 1, 4.723504021763802,
