num_of_edges,memory_discrete,memory_solver
4,5.558634899,4.827275379
5,1.864926215,4.253640654
6,1.25138747,4.216097304
7,3.141990992,4.257558355
8,1.923307239,4.037191377
9,1.593648975,4.090697956
10,3.369455039,4.247544792
11,2.331441455,4.287488762
12,2.211244212,4.024666461
13,2.301928538,4.019163497
14,2.074208863,3.990948936
15,2.246251484,4.000277799
16,5.037460413,4.576432169
17,3.329853035,4.304801884
18,3.306399633,3.997898496
19,3.349591452,4.139535304
20,3.279370507,3.946813683
21,3.234627427,3.986110843
22,3.276311883,4.056259937
23,6.111839717,4.69308937
24,4.768309635,4.323823644
25,4.602210916,4.133504619
26,4.564579478,4.034289403
27,4.560944034,3.957309229
28,4.532613533,4.025867219
29,4.526717421,3.875606822
30,4.506899353,3.912835785
31,4.507114214,3.939935786
32,4.908227155,3.950065885
33,4.500163957,4.161301809
34,6.121868215,4.197729436
35,7.355687771,4.715280415
36,5.986049273,4.217762056
37,6.49819244,4.39264444
38,6.177893981,4.223917139
39,6.083962066,4.049384795
40,5.971773459,4.022067592
41,5.965333473,4.08292579
42,5.957207793,3.987835054
43,5.962388749,3.893207879
44,5.946067919,3.945041061
45,5.946837434,3.98030248
46,5.936255946,3.977941702
47,5.944182237,3.882688722
48,8.405199339,4.685623028
49,7.405063378,4.75444983
50,7.405505727,4.611024168
51,7.400454726,4.509657325
52,7.401788326,4.591528728
53,7.40784721,4.645032125
54,7.394990202,4.614652907
55,7.389536524,4.57376555
56,7.396107817,4.622634311
57,7.396623315,4.502891266
58,7.39586666,4.582600185
59,7.386402572,4.534333337
60,7.393297,4.316419077
61,7.384139109,4.514740653
62,7.385824979,4.654284434
63,7.376576367,4.568141029
64,7.385153921,4.715813226
65,7.378256682,4.509272551
66,7.379016653,4.339255859
67,7.370382663,4.643770189
68,7.378297481,4.744969462
69,7.370322919,4.354786588
70,9.39698397,6.372772484
71,8.79935622,4.532982966
72,8.79673757,4.664002593
73,8.796153356,4.583223036
74,8.788816166,4.401225423
75,8.794340423,4.483174707
76,8.791329769,4.516014292
77,8.786464705,4.501438014
78,8.791399978,4.355757029
79,8.781390129,4.517149232
80,8.790425529,4.482999396
81,8.780306324,4.533235408
82,8.783585738,4.484373872
83,8.789768429,4.600346666
84,8.787928576,4.416978715
85,8.773171737,4.473796806
86,8.786746144,4.502946896
87,8.779729581,4.381630717
88,8.778416573,4.476699289
89,8.776904852,4.473133302
90,8.775835642,4.393994559
91,8.779997696,4.481236033
92,8.782279751,4.399022771
93,8.771690093,4.361301748
94,8.776951566,4.437048812
95,8.77765099,4.636744232
96,8.766447752,4.400303027
97,8.775211957,4.456676753
98,12.25566774,9.714827154
99,12.40198647,9.706079568
100,12.45947317,9.636024461
