num_of_edges,num_of_equations,delta_param,number_of_events,execution_time_discrete,memory_usage_discrete,execution_time_solver,memory_usage_solver
4,1,0.25,64,0.0015243878588080406,0.0497283935546875,0.27752965316176414,0.05252361297607422
5,1,0.25,64,0.0011205407790839672,0.01285552978515625,0.037799254059791565,0.0010528564453125
6,1,0.25,64,0.000883923377841711,0.0123138427734375,0.03628291701897979,0.000579833984375
7,1,0.125,256,0.002366956789046526,0.09252166748046875,0.03756667813286185,0.006691932678222656
8,1,0.125,256,0.0021384176798164845,0.0916595458984375,0.03730933694168925,0.006653785705566406
9,1,0.125,256,0.002100544050335884,0.0915985107421875,0.0370946628972888,0.006694793701171875
10,1,0.0625,1024,0.007187644951045513,0.4110298156738281,0.03780426178127527,0.0068569183349609375
11,1,0.0625,1024,0.006938647944480181,0.4110755920410156,0.03769979206845164,0.006653785705566406
12,1,0.0625,1024,0.006681371945887804,0.4111213684082031,0.03774730069562793,0.006823539733886719
13,1,0.0625,1024,0.006247974932193756,0.4111671447753906,0.03777650697156787,0.006653785705566406
14,1,0.0625,1024,0.006175471004098654,0.4112129211425781,0.03788307588547468,0.006653785705566406
15,1,0.0625,1024,0.012453476898372173,0.4127540588378906,0.0397602915763855,0.006730079650878906
16,1,0.03125,4096,0.024777074810117483,1.6306190490722656,0.03863365016877651,0.006653785705566406
17,1,0.03125,4096,0.023496948648244143,1.6306648254394531,0.03836617199704051,0.006653785705566406
18,1,0.03125,4096,0.029098006896674633,1.631845474243164,0.03845723392441869,0.006730079650878906
19,1,0.03125,4096,0.022009397856891155,1.6308622360229492,0.03928627027198672,0.0067272186279296875
20,1,0.03125,4096,0.021870655938982964,1.6308021545410156,0.040230872575193644,0.011618614196777344
21,1,0.03125,4096,0.02334606507793069,1.6308479309082031,0.03862058278173208,0.006653785705566406
22,1,0.03125,4096,0.02123446576297283,1.6312313079833984,0.03968355292454362,0.006653785705566406
23,1,0.015625,16384,0.10487983096390963,6.5171098709106445,0.03956218529492617,0.011673927307128906
24,1,0.015625,16384,0.09620567411184311,6.512157440185547,0.04187918966636062,0.011780738830566406
25,1,0.015625,16384,0.10387617582455277,6.512256622314453,0.03969628922641277,0.006730079650878906
26,1,0.015625,16384,0.09637214615941048,6.512368202209473,0.03992016380652785,0.011994361877441406
27,1,0.015625,16384,0.09543646080419421,6.512554168701172,0.04001013794913888,0.012277603149414062
28,1,0.015625,16384,0.08441719319671392,6.511432647705078,0.03959603887051344,0.012207984924316406
29,1,0.015625,16384,0.09147989982739091,6.512500762939453,0.039990346878767014,0.012314796447753906
30,1,0.015625,16384,0.09483408322557807,6.512660980224609,0.03988031717017293,0.006730079650878906
31,1,0.015625,16384,0.09015488112345338,6.512767791748047,0.03971690917387605,0.012528419494628906
32,1,0.015625,16384,0.0901686018332839,6.513314247131348,0.03962381836026907,0.006730079650878906
33,1,0.015625,16384,0.0900909872725606,6.513088226318359,0.04224036680534482,0.012742042541503906
34,1,0.015625,16384,0.08858487335965037,6.513034820556641,0.04030453506857157,0.013173103332519531
35,1,0.0078125,65536,0.4143775049597025,26.044864654541016,0.04026535898447037,0.0067958831787109375
36,1,0.0078125,65536,0.39931550109758973,26.044971466064453,0.041124744806438684,0.013062477111816406
37,1,0.0078125,65536,0.39737798320129514,26.044605255126953,0.039789802860468626,0.006730079650878906
38,1,0.0078125,65536,0.38010275224223733,26.04470443725586,0.04044898599386215,0.013276100158691406
39,1,0.0078125,65536,0.4164350600913167,26.044811248779297,0.04136106884106994,0.006730079650878906
40,1,0.0078125,65536,0.3723404109477997,26.044918060302734,0.040685872081667185,0.013489723205566406
41,1,0.0078125,65536,0.39124776097014546,26.044963836669922,0.04042481817305088,0.006730079650878906
42,1,0.0078125,65536,0.3697648122906685,26.04507064819336,0.039674971252679825,0.013703346252441406
43,1,0.0078125,65536,0.4218882527202368,26.045177459716797,0.04068745719268918,0.0068035125732421875
44,1,0.0078125,65536,0.3661865061149001,26.045284271240234,0.04037562012672424,0.013916969299316406
45,1,0.0078125,65536,0.38484620535746217,26.045391082763672,0.04070677189156413,0.006730079650878906
46,1,0.0078125,65536,0.3627145388163626,26.04549789428711,0.04065061965957284,0.014303207397460938
47,1,0.0078125,65536,0.37906777299940586,26.045604705810547,0.04434548784047365,0.006730079650878906
48,1,0.00390625,262144,1.719648236874491,104.21517562866211,0.03985821409150958,0.014321327209472656
49,1,0.00390625,262144,1.661472215782851,104.21522903442383,0.04180025402456522,0.006730079650878906
50,1,0.00390625,262144,1.6910867490805686,104.21529006958008,0.040778299793601036,0.0068511962890625
51,1,0.00390625,262144,1.7108747833408415,104.2153434753418,0.04177782917395234,0.006821632385253906
52,1,0.00390625,262144,1.6384243029169738,104.21540451049805,0.04123429302126169,0.014588356018066406
53,1,0.00390625,262144,1.710175956133753,104.2154655456543,0.04213324701413512,0.006913185119628906
54,1,0.00390625,262144,1.6539630889892578,104.2155590057373,0.04219869105145335,0.006882667541503906
55,1,0.00390625,262144,1.68805032921955,104.21557998657227,0.041482527274638414,0.007372856140136719
56,1,0.00390625,262144,1.6652772021479905,104.21564102172852,0.041537290904670954,0.014832496643066406
57,1,0.00390625,262144,1.626963076647371,104.21569442749023,0.0490776258520782,0.007096290588378906
58,1,0.00390625,262144,1.6987376720644534,104.21575546264648,0.04161970503628254,0.007142066955566406
59,1,0.00390625,262144,1.640223627910018,104.21581649780273,0.041752563789486885,0.007187843322753906
60,1,0.00390625,262144,1.6629804051481187,104.21586990356445,0.042603140231221914,0.015302658081054688
61,1,0.00390625,262144,1.6481515653431416,104.2159309387207,0.04161472897976637,0.007279396057128906
62,1,0.00390625,262144,1.6418320857919753,104.21599197387695,0.04179826192557812,0.007325172424316406
63,1,0.00390625,262144,1.6738715628162026,104.21599197387695,0.04257324896752834,0.007370948791503906
64,1,0.00390625,262144,1.669089216273278,104.2160530090332,0.04113488784059882,0.015320777893066406
65,1,0.00390625,262144,1.6295624040067196,104.21611404418945,0.041082092095166445,0.007462501525878906
66,1,0.00390625,262144,1.6335790138691664,104.21621131896973,0.04353573499247432,0.007508277893066406
67,1,0.00390625,262144,1.7069356669671834,104.21623611450195,0.042106152046471834,0.007846832275390625
68,1,0.00390625,262144,1.6464489828795195,104.2162971496582,0.041805891785770655,0.015564918518066406
69,1,0.00390625,262144,1.6140158283524215,104.21635818481445,0.041927610989660025,0.007645606994628906
70,1,0.001953125,1048576,7.0411887327209115,416.0685234069824,0.042217034846544266,0.007691383361816406
71,1,0.001953125,1048576,6.800104985013604,416.06857681274414,0.04248830769211054,0.007737159729003906
72,1,0.001953125,1048576,6.925715925171971,416.0686378479004,0.041804193053394556,0.007782936096191406
73,1,0.001953125,1048576,6.549120455048978,416.06911277770996,0.04147785808891058,0.015870094299316406
74,1,0.001953125,1048576,6.531139153055847,416.06875228881836,0.04188172658905387,0.015931129455566406
75,1,0.001953125,1048576,6.498046908993274,416.0688133239746,0.045400151051580906,0.007920265197753906
76,1,0.001953125,1048576,6.84616936603561,416.0688667297363,0.041239629965275526,0.007966041564941406
77,1,0.001953125,1048576,6.676114889793098,416.0689277648926,0.04213902121409774,0.008515357971191406
78,1,0.001953125,1048576,6.527577799744904,416.0689888000488,0.0423656040802598,0.008057594299316406
79,1,0.001953125,1048576,6.725837946869433,416.06904220581055,0.04366486007347703,0.008103370666503906
80,1,0.001953125,1048576,6.7138626370579,416.06904220581055,0.041438449174165726,0.008210182189941406
81,1,0.001953125,1048576,6.619497379288077,416.06904220581055,0.0423375922255218,0.008316993713378906
82,1,0.001953125,1048576,6.649564201012254,416.069034576416,0.04215192515403032,0.008347511291503906
83,1,0.001953125,1048576,6.725052003748715,416.069034576416,0.044564913026988506,0.008454322814941406
84,1,0.001953125,1048576,6.857756160199642,416.069034576416,0.04242432024329901,0.008561134338378906
85,1,0.001953125,1048576,6.521483337040991,416.0690269470215,0.0419641169719398,0.008744239807128906
86,1,0.001953125,1048576,6.584345197770745,416.0690269470215,0.04138798173516989,0.008851051330566406
87,1,0.001953125,1048576,6.731997023802251,416.0690269470215,0.04207292292267084,0.008957862854003906
88,1,0.001953125,1048576,6.760551285929978,416.0690269470215,0.04249515291303396,0.016480445861816406
89,1,0.001953125,1048576,6.442611273843795,416.06901931762695,0.04299956699833274,0.009900093078613281
90,1,0.001953125,1048576,6.689500774256885,416.06901931762695,0.04191100783646107,0.009278297424316406
91,1,0.001953125,1048576,6.520869999192655,416.06901931762695,0.041626826860010624,0.009385108947753906
92,1,0.001953125,1048576,6.732158697210252,416.0689582824707,0.04223686596378684,0.009491920471191406
93,1,0.001953125,1048576,6.5001290468499064,416.0689582824707,0.04234644491225481,0.016480445861816406
94,1,0.001953125,1048576,6.609753641765565,416.0689582824707,0.04305088007822633,0.009705543518066406
95,1,0.001953125,1048576,6.717850779183209,416.0689582824707,0.042041712906211615,0.009812355041503906
96,1,0.001953125,1048576,6.447649501729757,416.0692958831787,0.042340496089309454,0.016480445861816406
97,1,0.001953125,1048576,6.509797138161957,416.0689582824707,0.04204699210822582,0.010025978088378906
98,1,0.0009765625,4194304,32.14140295702964,1665.1273384094238,1.8274971819482744,0.010109901428222656
99,1,0.0009765625,4194304,112.43666657200083,1665.1273307800293,2.1769478409551084,0.010193824768066406
100,1,0.0009765625,4194304,198.43444187985733,1665.1273307800293,2.8262097877450287,0.010254859924316406
