num_of_edges,num_of_equations,delta_param,number_of_events,execution_time_discrete,memory_usage_discrete,execution_time_solver,memory_usage_solver
4,4,0.5,16,0.0014555200000083701,0.0107025146484375,0.1195717400000007,0.012581062316894532
5,5,0.25,64,0.002705799999993541,0.02018280029296875,0.12951601999999934,0.002352333068847656
6,6,0.25,64,0.003436439999998475,0.01917572021484375,0.13098749999999929,0.0010528564453125
7,7,0.125,256,0.010766599999997873,0.11171417236328125,0.19732831999998593,0.008295059204101562
8,8,0.125,256,0.010768599999998862,0.11514739990234375,0.2370901800000013,0.008513069152832032
9,9,0.125,256,0.009570440000003622,0.114422607421875,0.2607724800000145,0.008625984191894531
10,10,0.125,256,0.009389200000001452,0.1145782470703125,0.26861223999999523,0.008423423767089844
11,11,0.125,256,0.011410200000004167,0.1189666748046875,0.325140820000001,0.008946418762207031
12,12,0.125,256,0.01185634000000233,0.12223968505859376,0.4503400799999941,0.009291267395019532
13,13,0.125,256,0.013663320000009272,0.12180633544921875,0.4123925800000037,0.009376716613769532
14,14,0.125,256,0.012394019999993589,0.12169647216796875,0.5326151600000072,0.00932159423828125
15,15,0.0625,1024,0.06889601999999098,0.45118026733398436,0.6302215799999896,0.010435676574707032
16,16,0.0625,1024,0.055276579999994094,0.45127182006835936,0.6305255400000034,0.017030715942382812
17,17,0.0625,1024,0.04967149999999876,0.4525794982910156,0.7188338800000045,0.011334228515625
18,18,0.0625,1024,0.07320187999999668,0.45069198608398436,0.6639490200000061,0.011307334899902344
19,19,0.0625,1024,0.052179960000000136,0.4520576477050781,0.6873428400000007,0.018710517883300783
20,20,0.03125,4096,0.24121673999999996,1.743738555908203,0.8017639199999997,0.01952838897705078
21,21,0.03125,4096,0.21781252000001067,1.7513832092285155,0.7507024799999986,0.021258735656738283
22,22,0.03125,4096,0.19533482000000219,1.7502265930175782,0.7666513199999944,0.02031707763671875
23,23,0.03125,4096,0.2056040399999965,1.746253204345703,0.9681885800000035,0.02745361328125
24,24,0.03125,4096,0.22060025999999233,1.7526252746582032,1.0098654799999895,0.022385025024414064
25,25,0.03125,4096,0.2494352199999934,1.7503669738769532,1.4935886600000021,0.01566028594970703
26,26,0.03125,4096,0.3101597599999941,1.7526557922363282,1.129672140000005,0.023431396484375
27,27,0.03125,4096,0.25104453999999665,1.7536277770996094,1.3105427799999945,0.02424964904785156
28,28,0.03125,4096,0.3330306599999986,1.7476982116699218,1.269610319999991,0.03144683837890625
29,29,0.03125,4096,0.24774031999999907,1.7530372619628907,1.2422497200000016,0.0255401611328125
30,30,0.03125,4096,0.27631074000000383,1.7522544860839844,1.3149577199999982,0.017657661437988283
31,31,0.03125,4096,0.2786160599999953,1.7558280944824218,1.4284745399999956,0.02784900665283203
32,32,0.03125,4096,0.28145078000000223,1.7567039489746095,1.4454848600000012,0.0197052001953125
33,33,0.03125,4096,0.29325006000001463,1.7428611755371093,1.4912891999999922,0.03342704772949219
34,34,0.03125,4096,0.2973805999999996,1.755988311767578,1.5616728599999967,0.020241546630859374
35,35,0.03125,4096,0.29231410000000013,1.7520271301269532,1.6341339199999965,0.019927406311035158
36,36,0.015625,16384,1.1751437999999907,6.939415740966797,1.9285168999999924,0.053481674194335936
37,37,0.03125,4096,0.3066927399999898,1.759101104736328,1.9982027799999955,0.043558692932128905
38,38,0.03125,4096,0.3271597200000045,1.753563690185547,1.7968848599999887,0.027501869201660156
39,39,0.03125,4096,0.3036024799999993,1.747185516357422,2.0163363599999924,0.027832603454589842
40,40,0.03125,4096,0.36129278000000087,1.7716270446777345,2.132844759999995,0.024865150451660156
41,41,0.03125,4096,0.34679835999998687,1.7556037902832031,2.1173845000000084,0.029883766174316408
42,42,0.03125,4096,0.3244197599999993,1.7474021911621094,2.050000240000003,0.04598293304443359
43,43,0.03125,4096,0.32964820000000683,1.756140899658203,2.181153499999995,0.029330062866210937
44,44,0.03125,4096,0.4333272400000112,1.7569267272949218,2.321731539999999,0.022367477416992188
45,45,0.03125,4096,0.3520386600000066,1.7713844299316406,2.4026219600000074,0.026246070861816406
46,46,0.03125,4096,0.3784496400000009,1.7576087951660155,2.3506536600000016,0.029996681213378906
47,47,0.03125,4096,0.3396193800000006,1.748040008544922,2.516877780000004,0.04988021850585937
48,48,0.03125,4096,0.3710616600000023,1.7674110412597657,2.741034499999992,0.022765731811523436
49,49,0.03125,4096,0.39583830000000547,1.7541511535644532,2.7340344600000064,0.053032875061035156
