num_of_edges,memory_discrete,memory_solver
4,-4.214640824,-6.045787951
5,-4.289832247,-7.446865137
6,-4.291317608,-7.474718397
7,-2.314347316,-4.913968003
8,-2.314192935,-4.914206127
9,-2.313729934,-4.914426983
10,-0.829351996,-4.91467388
11,-0.830058651,-4.913959345
12,-0.829953671,-4.913712625
13,-0.829848702,-4.914452969
14,-0.829743743,-4.913968003
15,-0.829459245,-4.912786883
16,0.545892171,-4.914691209
17,0.54591869,-4.915900606
18,0.545971874,-4.912769588
19,0.545971726,-4.867084417
20,0.546089279,-4.887507342
21,0.54606247,-4.913950687
22,0.54613995,-4.863418925
23,1.930265016,-4.629876786
24,1.930289114,-4.719769209
25,1.930249406,-4.638020092
26,1.930307011,-4.871381333
27,1.930322731,-4.688738318
28,1.93034406,-4.796873998
29,1.930353986,-4.681489801
30,1.930368229,-4.614087903
31,1.930339078,-4.673537507
32,1.930396236,-4.84162318
33,1.930413725,-4.601384281
34,1.930437008,-4.785620478
35,3.31639627,-4.683578044
36,3.31639555,-4.610038764
37,3.316403642,-4.603216428
38,3.316442867,-4.289829928
39,3.316446871,-4.282615637
40,3.316449861,-4.241783603
41,3.316451604,-4.234379865
42,3.316455175,-4.226423066
43,3.316461514,-4.201799419
44,3.316466321,-4.194311679
45,3.316469892,-4.186998856
46,3.316474044,-4.163467142
47,3.316478196,-4.155566243
48,4.700749543,-4.872472989
49,4.700750098,-4.647486353
50,4.700750722,-4.328692907
51,4.700751277,-4.610198498
52,4.700751901,-4.85583796
53,4.700752525,-4.849287447
54,4.700753079,-4.718878379
55,4.700753704,-4.489795851
56,4.700754328,-4.618391847
57,4.700754189,-4.825754968
58,4.700754813,-4.75272933
59,4.700755437,-4.625302648
60,4.700756685,-4.485880491
61,4.700757309,-4.643389153
62,4.700757933,-4.763922212
63,4.700757933,-4.694599534
64,4.700758557,-4.544783749
65,4.700759181,-4.513267475
66,4.700759805,-4.589606531
67,4.700760429,-4.673231207
68,4.700761053,-4.637632528
69,4.700761677,-4.602908722
70,6.087473933,-4.438704961
71,6.087474072,-4.622989422
72,6.087474228,-4.710511346
73,6.087474366,-4.556084699
74,6.087474522,-4.637770458
75,6.087474678,-4.728631516
76,6.087474817,-4.659188206
77,6.087474973,-4.717557847
78,6.087475129,-4.68036163
79,6.087475267,-4.4994645
80,6.087475267,-4.695733451
81,6.087475267,-4.621411467
82,6.08747525,-4.64791425
83,6.08747525,-4.636421539
84,6.08747525,-4.654505047
85,6.087475059,-4.605303073
86,6.087475059,-4.594900529
87,6.087475059,-4.610597945
88,6.087475059,-4.599871646
89,6.087475215,-4.588024094
90,6.087475215,-4.577177326
91,6.087475215,-4.565594084
92,6.087475059,-4.554998724
93,6.087475059,-4.543838524
94,6.087475059,-4.533464086
95,6.087475059,-4.522546209
96,6.087475059,-4.513021023
97,6.087475059,-4.502170892
98,7.474264197,-4.491973593
99,7.474264192,-4.463573676
