num_of_edges,execution_time_discrete,execution_time_solver
4,0.893742419,3.898500386
5,0.034101865,3.891638037
6,-0.137183769,3.889695185
7,0.865119535,3.900225083
8,0.709123871,3.850390976
9,0.846117164,3.913679832
10,2.117464422,3.872370743
11,2.04578134,3.897295283
12,1.902723754,3.880807636
13,1.963807601,3.821372652
14,2.033419854,3.905897684
15,1.943356892,3.903255281
16,3.364516108,3.869998622
17,3.318892005,3.920800173
18,3.267028453,3.917336663
19,3.285184404,3.969391131
20,3.303661727,3.970527923
21,3.271724409,3.93396589
22,3.259659547,3.929805947
23,4.630133689,3.893077467
24,4.61895267,3.9032232
25,4.602400554,3.924587343
26,4.620779327,3.916796196
27,4.712493195,3.855435299
28,4.578498333,3.835902147
29,4.571415658,3.854833415
30,4.538934759,3.808069499
31,4.539169476,3.836165843
32,4.528604859,3.83114218
33,4.539681667,3.83098864
34,4.509721937,3.796234305
35,5.947618244,3.871424944
36,5.939692559,3.932885855
37,5.964616364,3.872032332
38,6.030781385,3.877739381
39,6.000674703,3.852781789
40,5.985537467,3.873555113
41,5.955641625,3.831335373
42,5.987701676,3.85243647
43,5.970368328,3.793962406
44,5.977570216,3.839543706
45,5.964447399,3.823720614
46,5.994927968,3.806077652
47,5.947627857,3.831085147
48,7.465070737,3.837064087
49,7.437685463,3.861562417
50,7.448468354,3.865145631
51,7.455728168,3.871502216
52,7.441656474,3.856586825
53,7.425886252,3.973061095
54,7.466245016,3.851694277
55,7.448296982,3.839027276
56,7.477480853,3.92908895
57,7.468524784,3.880642755
58,7.412833164,3.873005424
59,7.445002482,3.902925145
60,7.440685508,3.830338
61,7.42886113,3.868471874
62,7.434246059,3.821224174
63,7.472228974,3.843761509
64,7.440521854,3.826834112
65,7.409395574,3.831928813
66,7.420043103,3.864775621
67,7.414060937,3.976546089
68,7.516970944,3.861046503
69,7.420104511,3.850305036
70,8.923638872,3.941462383
71,8.881405507,3.878346256
72,8.86391925,4.076205201
73,8.908951052,3.939055318
74,8.880962699,3.876637249
75,8.885509491,3.935343946
76,8.887940979,4.185394468
77,8.877662415,3.92458043
78,8.877478218,4.188460544
79,8.880616987,3.923129895
80,8.88704611,3.951628644
81,8.900072199,3.913149371
82,8.870032706,3.964563082
83,8.884590315,3.908138069
84,8.882921341,4.141362681
85,8.911958824,3.918532373
86,8.876585098,3.983847358
87,8.876091031,3.954070872
88,8.882023132,4.084141521
89,8.873211457,3.936343646
90,8.897432504,3.933070152
91,8.863850283,3.95126718
92,8.858090002,4.069460335
93,8.862730967,3.887149817
94,8.866256021,4.113206715
95,8.859696167,3.909549348
96,8.87167495,4.267891064
97,8.849826619,3.884274142
98,10.30384727,4.549969901
99,10.29736812,4.260820403
100,10.29457624,4.161592067
