num_of_edges,memory_discrete,memory_solver
4,-4.127023002,-5.158059968
5,-4.401004407,-6.714519254
6,-4.40543071,-7.492357931
7,-2.389183181,-5.013659194
8,-2.389674154,-5.014233297
9,-2.389291341,-5.009878363
10,-0.888627444,-5.01117999
11,-0.888978159,-5.014233297
12,-0.888866808,-5.011681068
13,-0.888755469,-4.948667007
14,-0.888556481,-5.005399999
15,-0.888454916,-5.014233297
16,0.488723886,-5.014233297
17,0.488751966,-4.946088786
18,0.488784139,-5.014233297
19,0.488814615,-5.013128443
20,0.488836199,-4.942153723
21,0.488864275,-5.014233297
22,0.488914108,-4.94287533
23,1.873505968,-4.941379243
24,1.873455449,-4.939885392
25,1.873485887,-5.013085422
26,1.873469701,-4.936904367
27,1.873488142,-5.010435996
28,1.873501383,-4.933932202
29,1.87351767,-5.010593333
30,1.873534075,-4.855564333
31,1.873549659,-5.013085422
32,1.873568523,-4.928014243
33,1.873590038,-4.92654021
34,1.873599689,-5.007023584
35,3.259748375,-5.012096436
36,3.259752476,-4.922131101
37,3.259754761,-4.920665708
38,3.259789739,-4.609026642
39,3.25979384,-4.539363844
40,3.259797941,-5.007365727
41,3.25980198,-4.527434214
42,3.259804738,-5.007365727
43,3.259839889,-4.512189336
44,3.25984399,-4.646641048
45,3.259840827,-4.267789919
46,3.259844928,-5.000247653
47,3.259849029,-4.252660015
48,4.646457758,-4.895770942
49,4.646458271,-4.626253464
50,4.646458856,-4.994910466
51,4.646459369,-4.989279497
52,4.646459954,-4.982580613
53,4.64646054,-4.579473603
54,4.646461471,-4.524482709
55,4.646461638,-4.967313984
56,4.646462224,-4.967122222
57,4.646462736,-4.94974323
58,4.646463322,-4.943303194
59,4.646463908,-4.936904367
60,4.64646442,-4.927421737
61,4.646465006,-4.924228252
62,4.646465591,-4.917949947
63,4.646465591,-4.911710812
64,4.646466177,-4.905510364
65,4.646466763,-4.88586026
66,4.646467383,-4.892867517
67,4.646467934,-4.882909884
68,4.64646852,-4.880734207
69,4.646469105,-4.874722315
70,6.030849966,-4.59635524
71,6.030850095,-4.591376446
72,6.030850241,-4.856900503
73,6.030850471,-4.581492612
74,6.030850517,-4.747419541
75,6.030850663,-4.426248848
76,6.030850792,-4.736571977
77,6.030850938,-4.411792673
78,6.030851085,-4.725840821
79,6.030851213,-4.34386932
80,6.030851213,-4.623180369
81,6.030851213,-4.79046399
82,6.030851195,-4.786797709
83,6.030851195,-4.774070554
84,6.030851195,-4.761503345
85,6.030851177,-4.74032032
86,6.030851177,-4.728167656
87,6.030851177,-4.716160908
88,6.030851177,-4.704296614
89,6.030851158,-4.684651337
90,6.030851158,-4.680982138
91,6.030851158,-4.669525618
92,6.030851012,-4.658198866
93,6.030851012,-4.646998973
94,6.030851012,-4.635923129
95,6.030851012,-4.624968617
96,6.030851093,-4.614132807
97,6.030851012,-4.603413155
98,7.417656879,-4.593033291
99,7.417656874,-4.584776381
100,7.417656874,-4.576809546
