num_of_edges,memory_usage_discrete,memory_usage_solver
4,7.166290283,2.925332387
5,17.24497477,1.052379608
6,15.82870483,1.046593984
7,102.1273295,7.900905609
8,104.7340393,8.226776123
9,103.8706144,7.788403829
10,104.0883382,7.779979706
11,107.7999751,8.574008942
12,110.5542501,9.465376536
13,109.6892675,9.026304881
14,109.9050522,9.069124858
15,424.6972084,10.49785614
16,425.8257548,11.01360321
17,424.9539693,10.63315074
18,425.075531,10.69418589
19,427.1909078,12.77014414
20,1647.065481,12.41079966
21,1648.118814,19.68873342
22,1649.552282,14.0745163
23,1648.511759,18.42734019
24,1665.941874,19.32735443
25,1650.885264,14.16327159
26,1650.515747,37.87062963
27,1660.151927,16.44954681
28,1649.230957,29.81650035
29,1666.387685,19.74188487
30,1648.529307,21.59201304
31,1670.418803,22.13598887
32,1655.783145,18.52515539
33,1652.392832,44.26002502
34,1661.093648,18.30641429
35,1650.334676,33.08226267
36,6557.098484,56.91725413
37,1664.835358,17.87509918
38,1657.754008,44.47345734
39,1661.917877,19.34528351
40,1650.374603,59.01209513
41,1665.405019,18.10779572
42,1647.588603,22.54835765
43,1676.289622,24.29472605
44,1655.319182,19.44650014
45,1688.395945,27.9431661
46,1655.844625,19.81506348
47,1649.74343,64.04644648
48,1669.913483,20.69721222
49,1647.537231,67.06485748
50,1669.36264,19.18252309
51,1649.854279,21.41183217
52,6566.203054,72.61829376
53,1672.184499,20.00192006
54,1689.767202,34.49980418
55,1659.723663,20.36304474
56,6582.978312,76.21021271
57,1673.696899,20.33405304
58,6584.007772,76.21555328
59,6585.636902,78.0008316
60,6587.555949,40.4466629
61,6584.902191,79.62589264
62,6587.582652,79.78610992
63,6589.597575,36.69125239
64,6592.545573,81.6845576
65,6591.822561,83.25742086
66,6591.815186,37.26647695
67,6593.425751,85.12592316
68,6596.761068,86.92722321
69,6596.5271,65.34341176
70,6576.241557,87.07853953
71,6597.994486,88.60034943
72,6600.001017,47.03006744
73,6600.804392,81.78501129
74,6599.963379,90.45505524
75,6602.536519,49.83310699
76,6600.35731,85.09057363
77,6602.677663,94.21253204
78,6604.046885,85.18848419
79,6587.030284,59.03822581
80,6599.168142,98.36343129
81,6608.407338,90.73225657
82,6602.15505,48.87561798
83,6609.868368,100.1184464
84,6611.322021,68.27665965
85,6612.054443,79.92801666
86,6611.465454,98.00637563
87,6614.166768,73.53458405
88,26147.67799,89.23333486
89,6582.267761,58.48916372
90,6612.287649,99.35474396
91,6618.026225,107.6690038
92,6618.017324,68.43967438
93,6618.532054,102.8991063
94,6614.756266,107.4416478
95,6618.734233,89.46094513
96,6612.233226,81.82163239
97,6619.132741,99.6708552
98,6619.725545,111.048317
99,6625.419362,94.65478261
100,26159.42764,70.23766836
101,6610.31723,59.97298559
102,6617.724864,116.9941584
103,6627.854919,104.5180639
104,26160.09827,64.18145498
105,6620.504761,103.4718196
106,6623.018646,107.2422028
107,6624.597168,70.16366323
108,6630.2948,111.8735631
109,6629.253896,112.1090571
110,6629.310099,114.2315547
111,6626.835887,72.11119334
112,26160.56442,102.122434
113,6610.158793,119.2094803
114,26160.55171,70.93372345
115,6625.746155,116.7380651
116,26160.75185,69.03120677
117,26160.77067,106.4261754
118,26160.78059,77.57968903
119,26160.70786,78.2696406
120,26160.99904,57.63467153
121,26160.96369,76.04338328
122,26160.9787,79.6397845
123,26161.11018,78.038915
124,26161.23861,59.70884959
125,26161.2119,80.91271718
126,26161.2409,97.57887522
127,26161.34084,61.11087799
128,26161.47054,93.28454336
129,26161.46291,64.07184601
130,26161.47181,82.10290273
131,26161.5537,82.70893097
132,26161.70883,69.38724518
133,26161.68747,99.84912872
134,26161.70858,68.93660227
135,26161.7719,96.56492869
136,26161.92474,70.77325185
137,26161.89702,85.35785675
138,26161.98266,70.3294754
139,26162.0079,97.73070017
140,26162.15897,78.46139272
141,26162.14193,88.09452057
142,26162.12514,86.652565
143,26162.2261,87.03123728
144,26162.38251,86.5752538
145,26162.35657,88.49608103
146,26162.37361,86.1497879
147,26162.47101,87.73644765
148,26162.60071,78.42604319
149,26162.58367,87.43629456
150,26162.58443,91.93967183
151,26162.71591,87.4724706
152,26162.82603,78.96162669
153,26162.79653,116.5811539
154,26162.81509,75.03604889
155,26162.92264,78.09009552
156,26163.05669,81.09836578
157,26163.02541,116.7090734
158,26163.02617,80.13680776
159,26163.17368,78.60762278
160,26163.26599,116.2416458
161,26163.27387,83.05683136
162,26163.2693,84.10154978
163,26163.39544,116.0142899
164,26163.51624,86.8033727
165,26163.48317,85.41965485
166,26163.48572,114.9118423
167,26163.60296,86.4010493
168,104332.5768,83.71219635
169,26163.71918,86.97249095
170,26163.72528,112.7476374
171,26163.81582,84.33551788
172,26163.98646,95.5227534
173,26163.9445,113.781929
174,26163.93992,88.23769887
175,26164.08564,91.6727066
176,104333.0345,88.65070343
177,26164.17338,87.00606028
178,26164.17058,111.9119644
179,26164.31452,94.64715322
180,26164.446,91.16102854
181,26164.43253,110.6261571
182,26164.41727,95.73434194
183,26164.54697,91.70042674
184,104333.4923,89.14076487
185,26164.65607,94.25754547
186,26164.64615,113.6646907
187,26164.77585,106.5690994
188,26164.90555,93.69602203
189,26164.87503,99.95161692
190,26164.87503,107.6110204
191,26164.98947,94.33638255
192,104333.95,89.49171702
193,26165.10391,110.9336217
194,26165.10391,91.06413523
195,26165.21835,101.761055
196,26165.36331,110.4427973
197,26165.33279,92.15005239
198,26165.33279,102.8337479
199,26165.44724,110.6721878
