num_of_edges,execution_time_discrete,execution_time_solver
4,2.047870452,130.0220272
5,3.274259503,125.2090097
6,3.313445762,126.0420627
7,10.16623537,187.9789084
8,11.98898228,246.5452673
9,11.06539407,257.4645573
10,10.54269503,254.7198601
11,11.96583323,326.0961043
12,13.50460113,394.0058811
13,12.90531988,407.4303238
14,13.00082583,407.6910342
15,46.98740528,487.7141175
16,49.89154199,572.5551773
17,50.05284723,584.9970519
18,51.33005497,576.9751086
19,54.48849389,685.6173287
20,221.5222441,758.9417255
21,221.6625964,740.5122876
22,225.1786379,785.8782488
23,234.2650072,906.131891
24,254.0831634,994.0966656
25,248.6588054,1017.797238
26,252.181565,1015.015057
27,262.9117715,1122.248472
28,276.1829855,1230.43842
29,281.8069245,1259.111733
30,280.5226261,1276.535913
31,299.6673441,1406.996859
32,304.1356608,1522.177162
33,306.7777098,1511.090765
34,313.7504359,1528.249208
35,321.3984372,1705.810063
36,1328.163956,1896.222564
37,338.154483,1862.915142
38,345.2588759,1830.094221
39,352.0997942,2000.947018
40,362.0376272,2154.974262
41,368.1133217,2180.521781
42,371.718081,2091.452544
43,392.4582206,2354.129711
44,396.5463417,2573.92675
45,409.3730191,2467.200755
46,404.7478796,2589.681274
47,415.3713111,2739.646895
48,424.9121979,2878.13052
49,427.0275634,2953.137575
50,429.8493276,2979.030441
51,441.9389935,3160.971207
52,1804.831555,3403.827364
53,460.2417583,3446.0685
54,477.735106,3443.378562
55,473.1430645,3578.875479
56,1932.531126,3779.598945
57,489.4049385,3790.961348
58,1968.491363,3810.39929
59,2008.816787,4038.617359
60,2055.13702,4007.015948
61,2060.822053,4292.367814
62,2078.614145,4271.02531
63,2128.161769,4528.619413
64,2167.905492,4860.071768
65,2178.678621,4777.479946
66,2204.40455,4766.08047
67,2233.809054,5049.808674
68,2277.041572,5412.356911
69,2302.339803,5352.403878
70,2301.047705,5441.288204
71,2357.05866,5627.066327
72,2405.539208,5908.467186
73,2422.11604,5901.083838
74,2438.235527,5961.243488
75,2487.087788,6207.450091
76,2526.2002,6505.374797
77,2537.679128,6470.888393
78,2564.964582,6375.575095
79,2601.738087,6820.152512
80,2639.84905,7198.704596
81,2663.756794,7055.757528
82,2681.225529,7226.151285
83,2736.161863,7441.289993
84,2760.413914,7489.12275
85,2792.055417,7808.349416
86,2801.979711,7851.507367
87,2849.746152,8006.994127
88,11595.59931,8451.350029
89,2874.715376,8429.863996
90,2930.826089,8408.022866
91,2954.166201,8727.034678
92,3006.032502,9487.958407
93,3034.369641,9043.729069
94,3035.344174,9452.387298
95,3083.780672,9535.728372
96,3120.89099,9984.367927
97,3148.179347,9954.529279
98,3182.690254,9954.288949
99,3194.223872,10066.18702
100,13044.44711,10878.59209
101,3246.882722,10707.53176
102,3281.024533,10669.04
103,3318.827302,11057.55268
104,13482.92852,11658.25912
105,3396.485118,11412.14992
106,3405.403183,11655.51493
107,3444.504624,11865.8572
108,3489.858873,12084.08156
109,3492.824513,12265.65199
110,3525.974851,12246.84285
111,3575.113514,12353.17433
112,14397.8117,13134.70544
113,3580.660765,13120.03128
114,14592.01879,13169.83808
115,3671.308164,13498.60788
116,14924.22851,13988.01285
117,15033.74221,13902.12454
118,15036.8638,13982.25977
119,15215.77225,14334.4064
120,15339.68855,14708.70565
121,15409.5278,14739.61747
122,15510.39878,14885.30232
123,15703.93142,15219.11638
124,15832.67802,15563.59067
125,15970.08091,15817.76276
126,16004.83132,15970.49431
127,16138.63838,16082.58474
128,16285.67751,16976.60353
129,16332.08492,16666.86378
130,16453.24931,16928.45385
131,16621.21528,17118.30128
132,16769.31912,17715.93108
133,16845.95691,17730.11272
134,16935.8168,17891.26304
135,17110.14194,18194.43419
136,17235.26269,18675.46511
137,17346.52556,18763.61324
138,17425.86185,19080.40013
139,17554.78437,19143.53632
140,17745.17089,20256.02785
141,17802.52822,19716.59842
142,17867.8168,20278.56046
143,18074.57536,20460.63815
144,18301.98346,21484.0277
145,18382.60688,20843.88233
146,18417.24998,21176.99631
147,18520.10222,21477.54753
148,18663.35052,22347.96206
149,18795.09263,21994.60831
150,18784.59633,22644.82526
151,19040.97932,22362.84133
152,19190.89451,23431.55541
153,19264.64965,22985.30381
154,19274.12343,22987.83485
155,19449.60939,23481.75542
156,19662.83809,24740.6112
157,19730.16421,24377.31317
158,19798.16809,24417.62152
159,20011.17501,24433.73035
160,20149.96072,25892.33225
161,20205.7741,25288.50174
162,20310.54097,25713.56567
163,20482.91075,26224.00257
164,20656.08896,27200.65385
165,20768.37315,26597.48791
166,20819.20235,27107.02748
167,20954.18851,27184.96018
168,84450.95909,27121.17509
169,21111.01053,27714.26599
170,21270.86565,29006.71419
171,21425.16468,28597.62928
172,21677.02468,29049.2779
173,21619.09366,29182.47661
174,21714.27514,29206.67123
175,21918.61585,29703.05168
176,88429.63166,31126.17907
177,22133.22922,30364.40766
178,22203.93861,31503.95023
179,22412.32773,30954.46527
180,22543.19802,31928.87454
181,22626.1223,31641.23705
182,22671.71469,32350.6181
183,22835.65296,32075.8754
184,91890.76003,33387.65355
185,23049.16482,32996.65994
186,23148.35832,33876.15026
187,23334.83036,33836.98326
188,23489.43698,35504.43863
189,23506.80774,34508.28835
190,23607.84749,35440.73048
191,23738.61374,35234.69927
192,95555.90865,36552.58581
193,24019.48454,36121.7789
194,24125.60703,36608.26575
195,24325.06535,36616.45625
196,24539.20768,38054.3093
197,24501.35294,37288.8096
198,24574.97905,38118.57019
199,24738.46287,38009.73077
