num_of_edges,memory_discrete,memory_solver
4,16.13082886,5.752849579
5,12.26501465,1.213169098
6,12.21084595,0.557327271
7,91.70455933,6.646537781
8,91.6595459,6.642723083
9,91.69464111,6.671714783
10,411.2197876,6.663036346
11,411.075592,6.642723083
12,411.1213684,6.659698486
13,411.1671448,7.092857361
14,411.24897,6.701660156
15,411.290741,6.642723083
16,1630.234528,6.642723083
17,1630.280304,7.111167908
18,1630.332756,6.642723083
19,1630.382442,6.650066376
20,1630.417633,7.139205933
21,1630.463409,6.642723083
22,1630.544662,7.134056091
23,6511.08408,7.144737244
24,6510.755157,7.155418396
25,6510.953331,6.650352478
26,6510.84795,7.176780701
27,6510.968018,6.667995453
28,6511.05423,7.198143005
29,6511.160278,6.666946411
30,6511.26709,7.784938812
31,6511.368561,6.650352478
32,6511.491394,7.240867615
33,6511.631489,7.251548767
34,6511.694336,6.690788269
35,26042.98325,6.656932831
36,26043.09006,7.283592224
37,26043.14957,7.294273376
38,26044.06052,9.961509705
39,26044.16733,10.68019867
40,26044.27414,6.688499451
41,26044.37933,10.8083725
42,26044.45114,6.688499451
43,26045.36667,10.9744072
44,26045.47348,9.593772888
45,26045.39108,14.0127182
46,26045.49789,6.736278534
47,26045.60471,14.22634125
48,104215.1756,7.478141785
49,104215.229,9.791374207
50,104215.2901,6.772327423
51,104215.3435,6.810569763
52,104215.4045,6.85634613
53,104215.4655,10.26029587
54,104215.5625,10.84032059
55,104215.58,6.96182251
56,104215.641,6.963157654
57,104215.6944,7.085227966
58,104215.7555,7.131004333
59,104215.8165,7.176780701
60,104215.8699,7.245159149
61,104215.9309,7.268333435
62,104215.992,7.314109802
63,104215.992,7.359886169
64,104216.053,7.405662537
65,104216.114,7.552623749
66,104216.1787,7.499885559
67,104216.2361,7.574939728
68,104216.2971,7.591438293
69,104216.3582,7.637214661
70,416068.5234,10.08853912
71,416068.5768,10.13889313
72,416068.6378,7.774543762
73,416068.7334,10.23960114
74,416068.7523,8.674049377
75,416068.8133,11.95926666
76,416068.8667,8.76865387
77,416068.9278,12.13340759
78,416068.9888,8.863258362
79,416069.0422,12.98618317
80,416069.0422,9.821510315
81,416069.0422,8.308601379
82,416069.0346,8.339118958
83,416069.0346,8.445930481
84,416069.0346,8.552742004
85,416069.0269,8.735847473
86,416069.0269,8.842658997
87,416069.0269,8.94947052
88,416069.0269,9.056282043
89,416069.0193,9.235954285
90,416069.0193,9.26990509
91,416069.0193,9.376716614
92,416068.9583,9.483528137
93,416068.9583,9.590339661
94,416068.9583,9.697151184
95,416068.9583,9.803962708
96,416068.992,9.910774231
97,416068.9583,10.01758575
98,1665127.338,10.12210846
99,1665127.331,10.2060318
100,1665127.331,10.28766632
