num_of_edges,execution_time_discrete,execution_time_solver
4,2.44426,49.32842
5,1.03469,48.99107
6,0.87181,48.89598
7,2.37529,49.41357
8,2.03221,47.01144
9,2.33058,50.08291
10,8.31004,48.05618
11,7.7352,49.26901
12,6.70413,48.46334
13,7.12641,45.66685
14,7.64017,49.69467
15,6.98215,49.56353
16,28.9195,47.94232
17,27.62972,50.44079
18,26.23327,50.26639
19,26.71391,52.95228
20,27.2121,53.01251
21,26.35675,51.10927
22,26.04067,50.8971
23,102.52777,49.06164
24,101.38779,49.56194
25,99.72342,50.63218
26,101.57316,50.23923
27,111.32938,47.24918
28,97.36807,46.33521
29,96.68088,47.22075
30,93.59105,45.06336
31,93.61302,46.34743
32,92.62924,46.11518
33,93.66098,46.1081
34,90.89654,44.53317
35,382.84042,48.01075
36,379.81814,51.0541
37,389.40361,48.03992
38,416.03999,48.31487
39,403.70108,47.12397
40,397.63618,48.11313
41,385.92445,46.12409
42,398.49768,47.1077
43,391.6499,44.43211
44,394.4807,46.50425
45,389.33782,45.7742
46,401.38777,44.97369
47,382.8441,46.11255
48,1745.97905,46.38908
49,1698.8137,47.53957
50,1717.23094,47.71022
51,1729.74308,48.01446
52,1705.57312,47.30362
53,1678.88683,53.14697
54,1748.03052,47.07275
55,1716.93668,46.48024
56,1767.78186,50.86062
57,1752.02017,48.45535
58,1657.11458,48.08669
59,1711.28954,49.54717
60,1703.91787,46.07811
61,1683.88875,47.86918
62,1692.98083,45.66007
63,1758.52202,46.70081
64,1703.63904,45.91694
65,1651.42788,46.15147
66,1669.10545,47.69257
67,1659.15039,53.33251
68,1838.98845,47.51505
69,1669.20795,47.0074
70,7507.3579,51.49385
71,7196.89892,48.3442
72,7072.14601,58.92145
73,7397.89702,51.37005
74,7193.71278,48.26165
75,7226.49557,51.17975
76,7244.08809,65.71942
77,7170.01062,50.63183
78,7168.69005,65.92123
79,7191.22626,50.55844
80,7237.60848,52.02002
81,7332.50292,50.05635
82,7115.51369,52.69724
83,7219.8562,49.80613
84,7207.8165,62.88846
85,7420.1817,50.32653
86,7162.29041,53.72333
87,7158.75263,52.14722
88,7201.34528,59.39093
89,7138.16812,51.23094
90,7313.17287,51.06351
91,7071.65828,52.00122
92,7031.04064,58.52537
93,7063.74729,48.77168
94,7088.69132,61.14247
95,7042.34272,49.87647
96,7127.2087,71.37096
97,6973.17985,48.63163
98,29847.22848,94.62956
99,29654.46901,70.8681
100,29571.79268,64.17361
